order_id,customer_id,product_id,quantity,order_date
ORD009750,C06443,P03116,11.0,2022-12-29
ORD_BAD0054,C02193,P06025,,2023-08-20
ORD001571,C01806,P05427,10.0,2024-04-24
ORD005377,C06307,P01542,2.0,2024-09-20
ORD003644,C10792,P09877,19.0,2021-07-03
ORD009401,C06946,P02635,9.0,2022-09-19
ORD003798,C04449,P06097,19.0,2022-01-04
ORD008239,C04371,P09958,16.0,2022-03-02
ORD003531,C09696,P08913,5.0,2024-11-12
ORD009199,C08020,P00524,4.0,2022-03-29
ORD008788,C09181,P09803,8.0,2024-01-24
ORD010012,C10225,P00469,3.0,2023-06-18
ORD004987,C02749,P00551,6.0,2022-04-14
ORD002745,C05401,P02608,11.0,2022-10-17
ORD007520,C10592,P01013,15.0,2024-08-16
ORD003922,C02024,P03619,2.0,2023-05-27
ORD002559,C01161,P00071,13.0,2021-02-04
ORD005181,C00073,P07732,4.0,2022-12-15
ORD003054,C06904,P10447,10.0,2023-03-30
ORD008977,C03718,P00778,6.0,2021-08-08
ORD003117,C03312,P03512,20.0,2024-11-05
ORD009152,C01979,P06073,3.0,2021-03-20
ORD006460,C02896,P05957,20.0,2023-09-21
ORD007864,C04406,P08974,8.0,2023-01-22
ORD003539,C08509,P10102,14.0,2022-03-21
ORD004227,C04821,P06474,1.0,2021-05-15
ORD001829,C03543,P06346,11.0,2023-04-30
ORD005711,C00161,P02014,18.0,2022-12-25
ORD005272,C06150,P07071,6.0,2021-10-22
ORD005301,C08186,P01321,9.0,2023-07-22
ORD010607,C01879,P10223,5.0,2024-12-25
ORD007361,C04387,P04203,11.0,2023-07-06
ORD001021,C04012,P00379,16.0,2022-03-03
ORD003494,C03122,P10275,18.0,2022-08-13
ORD005036,C07040,P09299,15.0,2022-10-01
ORD006998,C01836,P06591,6.0,2023-05-13
ORD009566,C02263,P07465,14.0,2022-07-12
ORD005779,C07801,P03119,15.0,2023-05-21
ORD002010,C05485,P02402,3.0,2022-04-19
ORD001243,C09336,P08813,19.0,2024-11-28
ORD001574,C04902,P04076,14.0,2024-06-13
ORD008307,C00224,P05616,20.0,2023-01-23
ORD003622,C06454,P05513,19.0,2023-10-14
ORD010628,C10110,P04470,2.0,2023-12-11
ORD001994,C05430,P03622,5.0,2024-09-08
ORD004758,C03234,P01272,20.0,2023-12-05
ORD000749,C01126,P08394,19.0,2024-06-06
ORD005046,C00071,P01975,5.0,2023-09-16
ORD007675,C02164,P08792,20.0,2021-03-02
ORD002699,C10112,P07360,1.0,2024-02-02
ORD007103,C09685,P01907,10.0,2022-05-22
ORD009784,C10089,P04147,15.0,2022-02-28
ORD006151,C00482,P07790,11.0,2022-01-20
ORD006531,C07342,P03705,17.0,2023-08-12
ORD006097,C03940,P03902,9.0,2024-12-08
ORD005204,C02396,P05295,5.0,2023-05-09
ORD002888,C00867,P07111,3.0,2021-10-19
ORD008300,C03060,P03628,18.0,2024-08-18
ORD005837,C08625,P00349,5.0,2022-08-14
ORD_BAD0091,C99999,P99999,2.0,2023-09-10
ORD005773,C09590,P08876,1.0,2024-03-14
ORD010197,C02908,P04385,9.0,2022-09-08
ORD007370,C07037,P01042,5.0,2024-09-11
ORD010671,C09310,P05782,3.0,2024-05-03
ORD005401,C06028,P03168,15.0,2024-12-31
ORD002176,C04912,P01688,17.0,2023-03-10
ORD005583,C07475,P04133,12.0,2023-07-03
ORD007022,C04759,P06366,10.0,2024-08-09
ORD007514,C09551,P09334,16.0,2023-09-15
ORD007027,C09832,P08558,18.0,2024-05-21
ORD008925,C02610,P01589,1.0,2023-12-24
ORD010407,C09273,P03913,9.0,2023-08-16
ORD006647,C00596,P09593,14.0,2021-06-04
ORD001071,C01901,P03331,5.0,2024-12-15
ORD007626,C02745,P06398,7.0,2024-02-20
ORD001734,C01542,P10105,17.0,2022-04-16
ORD009733,C02660,P02942,4.0,2021-10-14
ORD008531,C05707,P03902,5.0,2022-10-18
ORD006737,C09318,P02517,17.0,2021-12-06
ORD002363,C03784,P00870,20.0,2021-06-23
ORD002239,C06426,P05025,15.0,2023-01-12
ORD002636,C06762,P05945,11.0,2023-05-09
ORD004273,C05085,P08102,3.0,2021-09-13
ORD008457,C00725,P04420,10.0,2023-12-10
ORD006620,C01915,P09829,20.0,2024-11-30
ORD008445,C09198,P07648,9.0,2024-06-19
ORD007635,C08449,P09978,4.0,2023-06-10
ORD002439,C01574,P00821,7.0,2024-05-13
ORD007257,C06342,P10155,15.0,2022-11-04
ORD004694,C10094,P02776,9.0,2022-05-29
ORD007437,C10226,P00007,4.0,2021-05-19
ORD000731,C06338,P03159,18.0,2022-05-10
ORD000690,C08128,P04428,1.0,2024-10-15
ORD002529,C09401,P06698,1.0,2023-02-24
ORD010406,C04067,P07782,8.0,2022-04-04
ORD007766,C10380,P02322,8.0,2022-11-15
ORD005851,C09351,P10207,2.0,2024-08-25
ORD002887,C05212,P07841,15.0,2023-07-28
ORD004914,C02141,P04546,12.0,2024-04-07
ORD001974,C02205,P03614,17.0,2024-02-19
ORD007604,C02763,P03900,18.0,2023-02-28
ORD003003,C02888,P10659,16.0,2021-05-19
ORD003236,C06924,P04563,17.0,2024-05-26
ORD001997,C10270,P08663,14.0,2022-11-11
ORD005628,C10797,P02859,16.0,2024-10-11
ORD009016,C08704,P08385,8.0,2022-11-25
ORD008605,C09087,P07046,6.0,2024-06-09
ORD008469,C06227,P01194,2.0,2021-11-01
