product_id,product_name,category,price
P05771,Women's Handbag,Fashion,25556.31
P04894,Perfume (Hugo Boss),Beauty,67133.67
P08151,iPhone 14 Pro,Electronics,722761.55
P07143,Black Opal Foundation,Beauty,14991.13
P06708,Smart Watch,Electronics,76697.48
P06597,Football (Adidas),Sports,19035.68
P05799,Children's Backpack,Accessories,10058.43
P02084,Ribena Blackcurrant 1L,Food & Beverage,3603.78
P00641,Olay Regenerist Cream,Beauty,20790.59
P05620,Ankara Fabric (5 yards),Fashion,12326.65
P09497,Football (Adidas),Sports,16674.45
P00796,Dumbbells Set 20kg,Sports,40182.17
P07277,Pressure Cooker 5L,Kitchen,43697.25
P09756,Wireless Earbuds,Electronics,23141.98
P09671,Women's Handbag,Fashion,24740.1
P06235,Protein Powder 2kg,Health,32292.05
P02225,Tefal Non-Stick Pan,Kitchen,25983.35
P08181,Golden Penny Semovita 5kg,Food & Beverage,4450.9
P10158,Smart Watch,Electronics,84881.17
P01504,Canon DSLR Camera,Electronics,510071.15
P07962,Puma Training Shoes,Footwear,46684.82
P00117,Levi's 501 Jeans,Apparel,45602.67
P09685,Protein Powder 2kg,Health,29958.98
P06105,USB-C Hub 7-in-1,Electronics,13834.93
P10684,Ribena Blackcurrant 1L,Food & Beverage,3064.91
P08426,Blender (Binatone),Kitchen,29324.69
P03025,Tefal Non-Stick Pan,Kitchen,23952.94
P00088,First Aid Kit,Health,8204.18
P06644,Perfume (Hugo Boss),Beauty,82774.0
P07456,Wireless Earbuds,Electronics,20463.09
P04934,Ribena Blackcurrant 1L,Food & Beverage,3147.51
P08810,Nike Air Max,Footwear,69501.98
P07892,Dove Shampoo 700ml,Beauty,6777.02
P08596,Dumbbells Set 20kg,Sports,35996.14
P01284,Ribena Blackcurrant 1L,Food & Beverage,2816.88
P09401,iPhone 14 Pro,Electronics,739865.85
P03607,Portable Power Bank 20000mAh,Electronics,20406.99
P10671,Women's Handbag,Fashion,28622.31
P02277,Pressure Cooker 5L,Kitchen,32913.32
P02376,Blender (Binatone),Kitchen,27968.09
P09074,Sunglasses (Ray-Ban),Fashion,61697.96
P10067,Levi's 501 Jeans,Apparel,49689.97
P03511,Adidas Ultraboost,Footwear,67788.91
P01247,Football (Adidas),Sports,16356.88
P09002,HP Laptop 15,Electronics,499206.59
P03086,Multivitamin Tablets (60ct),Health,11694.28
P08234,Ribena Blackcurrant 1L,Food & Beverage,3409.04
P05285,Protein Powder 2kg,Health,33243.65
P09659,Bluetooth Speaker,Electronics,36996.86
P00933,Nestle Milo 900g,Food & Beverage,8356.89
P04871,Women's Handbag,Fashion,25147.32
P06936,Multivitamin Tablets (60ct),Health,10974.25
P01320,Ankara Fabric (5 yards),Fashion,11976.8
P01696,Dumbbells Set 20kg,Sports,39611.65
P00836,Multivitamin Tablets (60ct),Health,12760.97
P04518,Zara Casual Shirt,Apparel,26613.16
P01469,Nike Tracksuit,Apparel,71162.6
P00832,Jollof Rice Seasoning Pack,Food & Beverage,2704.48
P01203,LG 43-inch TV,Electronics,318854.62
P04059,Bluetooth Speaker,Electronics,31726.08
P07912,Puma Training Shoes,Footwear,54047.29
P00320,Ankara Fabric (5 yards),Fashion,13065.85
P05458,Smart Watch,Electronics,81599.47
P03443,Black Opal Foundation,Beauty,13711.52
P09158,Smart Watch,Electronics,73349.05
P05476,Blender (Binatone),Kitchen,33162.32
P05931,Golden Penny Semovita 5kg,Food & Beverage,4364.87
P06755,USB-C Hub 7-in-1,Electronics,16474.2
P09707,Portable Power Bank 20000mAh,Electronics,15735.61
P00247,Football (Adidas),Sports,15624.0
P02688,First Aid Kit,Health,9445.49
P01808,Smart Watch,Electronics,64401.66
P04085,Protein Powder 2kg,Health,34432.29
P09387,Blood Pressure Monitor,Health,39306.27
P05177,Pressure Cooker 5L,Kitchen,42340.51
P09933,Nestle Milo 900g,Food & Beverage,8256.66
P01909,Bluetooth Speaker,Electronics,37253.08
